2017-02-12 20:32:21 | 温永鑫 | global name 'cofnig' is not defined
2017-02-12 20:37:40 | 温永鑫 | global name 'cofnig' is not defined
2017-02-12 20:43:26 | 温永鑫 | global name 'cofnig' is not defined
2017-02-12 20:54:00 | 温永鑫 | [Errno 10054]
2017-02-12 21:20:59 | 温永鑫 | [Errno 10054] 
2017-02-12 21:23:40 | 温永鑫 | [Errno 10054] 
2017-02-12 21:34:06 | 温永鑫 | [Errno 10054] 
2017-02-12 21:37:46 | 温永鑫 | [Errno 10054] 
2017-02-12 21:47:00 | 温永鑫 | [Errno 10054] 
2017-02-12 21:48:29 | 温永鑫 | [Errno 10054] 
2017-02-12 21:50:16 | 温永鑫 | [Errno 10054] 
2017-02-12 21:53:18 | 温永鑫 | [Errno 10054] 
2017-02-12 21:54:29 | 温永鑫 | [Errno 10054] 
